Date,Open,High,Low,Close,Volume,AdjClose
2022-03-03,168.44,168.91,165.55,166.23,56516320.0,163.02
2022-03-04,164.49,165.55,162.1,163.17,63262885.0,160.02
2022-03-07,163.41,165.02,159.04,159.3,68972253.0,156.23
2022-03-08,158.82,162.88,155.8,157.44,100501629.0,154.4
2022-03-09,161.47,163.41,159.41,162.95,64481756.0,159.81
2022-03-10,160.2,160.39,156.0,158.52,74033721.0,155.46
2022-03-11,158.97,159.28,154.5,154.73,72857526.0,151.74
2022-03-14,151.53,154.12,150.1,150.62,79342744.0,147.71
2022-03-15,150.99,155.57,150.38,155.09,67072382.0,152.1
2022-03-16,157.07,160.0,154.46,159.59,72481911.0,156.51
2022-03-17,158.55,161.0,157.63,160.62,54264041.0,157.52
2022-03-18,160.46,164.48,159.76,163.98,77561285.0,160.82
2022-03-21,163.51,166.35,163.01,165.38,63109146.0,162.19
2022-03-22,165.47,169.42,164.91,168.82,60810238.0,165.56
2022-03-23,167.96,172.64,167.65,170.21,76245630.0,166.93
2022-03-24,171.2,174.14,170.21,174.07,68645413.0,170.71
2022-03-25,173.79,175.28,172.75,174.72,62894013.0,171.35
2022-03-28,172.09,175.73,172.0,175.6,69899201.0,172.21
2022-03-29,176.75,179.01,176.34,178.96,70096530.0,175.51
2022-03-30,178.56,179.61,176.7,177.77,66750463.0,174.34
2022-03-31,177.87,178.03,174.4,174.61,66091709.0,171.24
2022-04-01,173.99,174.88,171.95,174.31,57754704.0,170.95
2022-04-04,174.57,178.49,174.44,178.44,59877249.0,175.0
2022-04-05,177.55,178.3,174.41,175.06,55112678.0,171.68
2022-04-06,172.35,173.63,170.13,171.83,66687005.0,168.51
2022-04-07,171.17,173.36,169.85,172.14,56294405.0,168.82
2022-04-08,171.78,171.78,169.2,170.09,58436773.0,166.81
2022-04-11,168.73,169.03,165.5,165.75,54402821.0,162.55
2022-04-12,168.01,169.87,166.64,167.66,61050218.0,164.42
2022-04-13,167.39,171.04,166.77,170.4,52907220.0,167.11
2022-04-14,170.73,171.27,165.04,165.29,55208723.0,162.1
2022-04-18,163.91,166.6,163.57,165.07,49898998.0,161.88
2022-04-19,165.0,167.82,163.91,167.4,49351346.0,164.17
2022-04-20,168.76,168.88,166.1,167.23,51715219.0,164.0
2022-04-21,168.87,171.53,165.91,166.42,67850250.0,163.21
2022-04-22,166.49,167.87,161.5,161.79,59419014.0,158.67
2022-04-25,161.18,163.17,158.46,162.88,72237670.0,159.74
2022-04-26,162.18,162.34,156.72,156.8,69401232.0,153.77
2022-04-27,155.94,159.79,155.38,156.57,64353114.0,153.55
2022-04-28,159.16,164.52,158.93,163.64,83789592.0,160.48
2022-04-29,161.86,166.2,157.25,157.65,92293023.0,154.61
2022-05-02,156.79,158.23,153.27,157.96,95751321.0,154.91
2022-05-03,158.14,160.71,156.32,159.48,68937269.0,156.4
2022-05-04,159.67,166.48,159.26,166.02,86160287.0,162.82
2022-05-05,163.81,164.08,154.95,156.77,99948693.0,153.74
2022-05-06,156.02,159.44,154.18,157.28,89041854.0,154.47
2022-05-09,154.91,155.83,151.49,152.06,94567578.0,149.34
2022-05-10,155.5,156.74,152.97,154.51,83192975.0,151.75
2022-05-11,153.5,155.45,145.81,146.5,103993686.0,143.88
2022-05-12,142.76,146.2,138.8,142.56,140776114.0,140.01
2022-05-13,144.66,148.11,143.11,147.11,88833843.0,144.48
2022-05-16,145.61,147.52,144.18,145.54,65426332.0,142.94
2022-05-17,148.86,149.77,146.68,149.24,58090230.0,146.57
2022-05-18,146.86,147.37,139.97,140.82,80338150.0,138.31
